price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
920000.0,1.0,31.8,3.0,5.0,1.0,"Большая Академическая ул.,  18к2","37.529097,55.821750",,,,,,,,,,,,,,,
6117954.0,4.0,98.9,31.0,32.0,1.0,"ул. Дербеневская, вл. 20","37.647720,55.721138",,,,,,,,,,,,,,,
1790000.0,2.0,48.4,13.0,33.0,1.0,"Новохохловская ул.,  15к2","37.712102,55.727775",,,,,,,,,,,,,,,
245000.0,1.0,14.3,1.0,5.0,0.0,"ул. Орджоникидзе,  5","37.601070,55.709977",,,,,,,,,,,,,,,
840000.0,1.0,35.5,3.0,14.0,1.0,"ул. Вешних Вод,  8к3","37.700011,55.858978",,,,,,,,,,,,,,,
3604960.0,4.0,115.8,7.0,16.0,1.0,"ул. Орджоникидзе,  14","37.589320,55.710322",,,,,,,,,,,,,,,
414950.0,1.0,11.6,1.0,9.0,0.0,"Чертановская ул.,  58к2","37.584523,55.602617",,,,,,,,,,,,,,,
1550000.0,1.0,19.7,5.0,11.0,0.0,"ул. Казакова,  7","37.659856,55.763407",,,,,,,,,,,,,,,
1590000.0,3.0,64.9,7.0,12.0,1.0,"Каширское ш.,  108к1","37.716504,55.609299",,,,,,,,,,,,,,,
2700000.0,1.0,56.4,5.0,26.0,1.0,"пр. Берёзовой Рощи,  12","37.520420,55.791177",,,,,,,,,,,,,,,
16000000.0,3.0,145.0,67.0,79.0,1.0,"1-й Красногвардейский пр.,  22с1","37.533724,55.751133",,,,,,,,,,,,,,,
2958600.0,2.0,52.4,13.0,14.0,1.0,"пр-т Генерала Дорохова,  39к1В","37.496578,55.716848",,,,,,,,,,,,,,,
1199000.0,1.0,33.0,2.0,9.0,1.0,"ул. Свободы,  81с3","37.442131,55.861807",,,,,,,,,,,,,,,
2900000.0,4.0,100.0,16.0,22.0,1.0,"ул. Островитянова,  32","37.523240,55.632540",,,,,,,,,,,,,,,
3130000.0,3.0,60.0,8.0,20.0,1.0,"Большая Филёвская ул.,  3к1","37.516260,55.751644",,,,,,,,,,,,,,,
1900000.0,3.0,64.2,2.0,6.0,1.0,"ул. Толбухина,  7к1","37.400863,55.720180",,,,,,,,,,,,,,,
5720956.0,3.0,88.2,4.0,16.0,1.0,"Донская ул.,  14к2","37.570995,55.670757",,,,,,,,,,,,,,,
950000.0,1.0,32.7,3.0,9.0,1.0,"Чертановская ул.,  66к2","37.585664,55.596930",,,,,,,,,,,,,,,
4332040.0,1.0,53.3,14.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.545303,55.751974",,,,,,,,,,,,,,,
600000.0,1.0,30.0,1.0,6.0,0.0,"4-я Тверская-Ямская ул.,  2/11с1","37.598717,55.771692",,,,,,,,,,,,,,,
3541800.0,3.0,62.7,6.0,10.0,1.0,"Кутузовский пр-т,  4/2","37.562272,55.750732",,,,,,,,,,,,,,,
7000000.0,3.0,139.0,7.0,44.0,1.0,"Давыдковская ул.,  3","37.479986,55.727465",,,,,,,,,,,,,,,
4500000.0,2.0,82.1,10.0,22.0,1.0,"ул. Академика Королёва,  10","37.619899,55.823398",,,,,,,,,,,,,,,
6217400.0,3.0,83.9,5.0,9.0,1.0,"Серебрянический пер.,  6","37.646112,55.749851",,,,,,,,,,,,,,,
1800000.0,3.0,68.6,6.0,16.0,1.0,"Большая Черкизовская ул.,  30к1","37.740965,55.799603",,,,,,,,,,,,,,,
650000.0,2.0,34.5,3.0,6.0,1.0,"Варшавское ш.,  125","37.619396,55.625984",,,,,,,,,,,,,,,
2550000.0,2.0,43.0,7.0,44.0,1.0,"Ходынская ул.,  2","37.564212,55.770806",,,,,,,,,,,,,,,
1099000.0,1.0,35.0,4.0,9.0,1.0,"ул. Цюрупы,  20к2","37.570555,55.668198",,,,,,,,,,,,,,,
435000.0,1.0,11.7,1.0,9.0,0.0,"Уральская ул.,  8","37.799472,55.815802",,,,,,,,,,,,,,,
